deal_id,created_date,closed_date,stage,deal_value,region,source
D0041,2025-01-08,2025-01-30,Closed Lost,12541,US,Inbound
D0042,2025-03-10,2025-04-03,Closed Won,10354,US,Outbound
D0043,2025-03-01,2025-03-18,Closed Lost,17820,APAC,Inbound
D0044,2025-01-07,2025-02-06,Closed Lost,14983,US,Inbound
D0045,2025-01-31,2025-02-15,Closed Won,4849,US,Inbound
D0046,2025-02-18,2025-02-28,Closed Lost,12841,EU,Outbound
D0047,2025-02-06,2025-03-01,Closed Lost,11230,APAC,Partner
D0048,2025-03-04,2025-03-18,Closed Won,5750,US,Inbound
D0049,2025-03-16,2025-04-18,Closed Lost,11984,APAC,Outbound
D0050,2025-03-06,2025-04-14,Closed Lost,10764,US,Inbound
D0051,2025-03-07,2025-03-19,Closed Lost,13227,US,Outbound
D0052,2025-01-16,2025-02-25,Closed Lost,12563,US,Partner
D0053,2025-03-18,2025-03-29,Closed Lost,7834,APAC,Outbound
D0054,2025-02-03,2025-02-19,Closed Lost,14316,EU,Inbound
D0055,2025-02-03,2025-02-25,Closed Won,9570,US,Inbound
D0056,2025-02-28,2025-03-29,Closed Lost,8847,US,Inbound
D0057,2025-03-10,2025-03-26,Closed Lost,14245,US,Inbound
D0058,2025-02-17,2025-03-08,Closed Won,14466,APAC,Partner
D0059,2025-02-08,2025-03-09,Closed Lost,13550,APAC,Partner
D0060,2025-02-08,2025-03-19,Closed Lost,7864,US,Outbound
D0061,2025-01-15,2025-02-22,Closed Won,9288,APAC,Inbound
D0062,2025-02-13,2025-03-01,Closed Lost,11057,EU,Partner
D0063,2025-03-04,2025-03-22,Closed Lost,12899,EU,Outbound
D0064,2025-01-06,2025-01-16,Closed Won,10695,US,Partner
D0065,2025-02-03,2025-02-18,Closed Lost,8395,US,Inbound
D0066,2025-01-10,2025-02-19,Closed Lost,10786,US,Partner
D0067,2025-01-05,2025-02-10,Closed Won,8390,US,Outbound
D0068,2025-02-16,2025-03-26,Closed Lost,10763,US,Outbound
D0069,2025-01-27,2025-02-27,Closed Won,17003,EU,Partner
D0070,2025-01-20,2025-02-28,Closed Lost,15771,US,Inbound
D0071,2025-02-22,2025-03-04,Closed Won,17592,EU,Partner
D0072,2025-02-01,2025-02-19,Closed Won,9127,APAC,Inbound
D0073,2025-02-18,2025-03-27,Closed Won,9638,EU,Outbound
D0074,2025-02-09,2025-03-17,Closed Lost,12439,US,Inbound
D0075,2025-01-04,2025-02-04,Closed Won,8602,EU,Outbound
D0076,2025-03-24,2025-04-19,Closed Won,18343,APAC,Outbound
D0077,2025-01-04,2025-01-17,Closed Lost,11665,EU,Inbound
D0078,2025-01-14,2025-02-12,Closed Won,16733,APAC,Outbound
D0079,2025-02-25,2025-03-26,Closed Lost,17767,US,Outbound
D0080,2025-01-06,2025-02-07,Closed Won,17126,APAC,Partner
D0081,2025-03-29,2025-05-01,Closed Lost,11805,EU,Inbound
D0082,2025-03-27,2025-05-05,Closed Won,9622,EU,Partner
D0083,2025-01-16,2025-02-18,Closed Lost,6667,EU,Outbound
D0084,2025-03-31,2025-04-19,Closed Lost,11761,US,Outbound
D0085,2025-03-27,2025-05-06,Closed Won,11973,APAC,Outbound
D0086,2025-02-21,2025-03-20,Closed Lost,9774,EU,Outbound
D0087,2025-01-27,2025-02-19,Closed Lost,9511,EU,Outbound
D0088,2025-03-28,2025-04-13,Closed Lost,10027,APAC,Inbound
D0089,2025-03-26,2025-04-07,Closed Won,9422,US,Inbound
D0090,2025-03-28,2025-04-16,Closed Won,7712,US,Inbound
D0091,2025-01-04,2025-01-15,Closed Won,5076,US,Outbound
D0092,2025-02-23,2025-04-02,Closed Lost,13090,US,Partner
D0093,2025-03-31,2025-04-22,Closed Lost,12198,US,Inbound
D0094,2025-02-24,2025-03-13,Closed Won,17255,APAC,Partner
D0095,2025-03-01,2025-03-12,Closed Lost,13590,US,Outbound
D0096,2025-03-27,2025-04-22,Closed Lost,11092,APAC,Outbound
D0097,2025-02-26,2025-03-27,Closed Lost,14956,APAC,Outbound
D0098,2025-01-21,2025-02-23,Closed Lost,9616,EU,Outbound
D0099,2025-02-01,2025-03-09,Closed Lost,12433,APAC,Inbound
D0100,2025-02-05,2025-03-01,Closed Won,7651,EU,Inbound
D0101,2025-02-04,2025-02-24,Closed Won,10097,US,Outbound
D0102,2025-03-30,2025-04-13,Closed Lost,11509,US,Outbound
D0103,2025-02-22,2025-03-14,Closed Lost,9884,EU,Outbound
D0104,2025-03-16,2025-04-25,Closed Lost,13237,APAC,Outbound
D0105,2025-03-03,2025-03-13,Closed Lost,10923,EU,Partner
D0106,2025-03-11,2025-04-15,Closed Lost,15413,US,Outbound
D0107,2025-01-29,2025-02-16,Closed Won,15204,APAC,Outbound
D0108,2025-01-22,2025-02-27,Closed Lost,12590,US,Partner
D0109,2025-03-10,2025-03-20,Closed Lost,7551,US,Partner
D0110,2025-02-24,2025-03-10,Closed Lost,9101,US,Inbound
D0111,2025-02-03,2025-02-25,Closed Won,8864,EU,Outbound
D0112,2025-02-23,2025-03-13,Closed Lost,12917,EU,Inbound
D0113,2025-03-11,2025-03-22,Closed Lost,8934,APAC,Inbound
D0114,2025-01-04,2025-02-13,Closed Won,16221,US,Partner
D0115,2025-01-20,2025-02-06,Closed Won,9751,US,Outbound
D0116,2025-03-31,2025-04-18,Closed Lost,7942,US,Partner
D0117,2025-03-19,2025-04-28,Closed Lost,17008,EU,Inbound
D0118,2025-03-16,2025-03-26,Closed Lost,16389,APAC,Partner
D0119,2025-02-18,2025-03-12,Closed Lost,13537,APAC,Inbound
D0120,2025-01-14,2025-02-15,Closed Lost,16569,APAC,Partner
D0121,2025-01-16,2025-02-20,Closed Lost,12677,EU,Partner
D0122,2025-02-17,2025-03-01,Closed Lost,8744,EU,Inbound
D0123,2025-02-23,2025-03-31,Closed Lost,8879,EU,Partner
D0124,2025-01-20,2025-02-12,Closed Won,13384,APAC,Partner
D0125,2025-02-04,2025-03-05,Closed Lost,7980,EU,Partner
D0126,2025-03-17,2025-04-04,Closed Won,11016,US,Inbound
D0127,2025-02-05,2025-03-15,Closed Lost,12013,APAC,Outbound
D0128,2025-02-13,2025-02-23,Closed Lost,7323,EU,Inbound
D0129,2025-03-04,2025-03-20,Closed Won,11847,APAC,Partner
D0130,2025-02-05,2025-03-04,Closed Won,14911,US,Inbound
D0131,2025-01-31,2025-03-05,Closed Won,9489,EU,Partner
D0132,2025-03-04,2025-03-28,Closed Lost,11093,US,Outbound
D0133,2025-01-29,2025-02-20,Closed Lost,10356,EU,Partner
D0134,2025-03-09,2025-03-30,Closed Won,16458,APAC,Partner
D0135,2025-02-12,2025-03-05,Closed Lost,11640,US,Partner
D0136,2025-01-25,2025-02-14,Closed Won,14715,APAC,Partner
D0137,2025-01-24,2025-02-09,Closed Won,6247,APAC,Partner
D0138,2025-02-06,2025-02-19,Closed Lost,12573,EU,Inbound
D0139,2025-02-16,2025-03-03,Closed Won,11511,US,Inbound
D0140,2025-03-12,2025-03-31,Closed Lost,10191,US,Partner
D0141,2025-03-04,2025-03-17,Closed Lost,8378,EU,Outbound
D0142,2025-01-24,2025-03-05,Closed Won,10181,EU,Inbound
D0143,2025-01-09,2025-01-31,Closed Lost,7146,US,Inbound
D0144,2025-03-14,2025-04-23,Closed Won,9448,US,Inbound
D0145,2025-03-13,2025-04-16,Closed Won,7886,APAC,Outbound
D0146,2025-02-27,2025-04-07,Closed Won,9161,APAC,Outbound
D0147,2025-02-09,2025-03-09,Closed Lost,7437,US,Partner
D0148,2025-01-28,2025-02-15,Closed Lost,8243,US,Inbound
D0149,2025-01-23,2025-02-19,Closed Won,15938,APAC,Outbound
D0150,2025-02-07,2025-02-18,Closed Won,12066,APAC,Outbound
D0151,2025-03-31,2025-05-07,Closed Lost,8867,APAC,Partner
D0152,2025-03-26,2025-04-30,Closed Lost,4453,EU,Inbound
D0153,2025-03-11,2025-03-28,Closed Lost,17653,US,Inbound
D0154,2025-01-22,2025-02-26,Closed Won,8332,APAC,Partner
D0155,2025-02-06,2025-03-02,Closed Won,9901,EU,Partner
D0156,2025-03-11,2025-04-05,Closed Won,6825,APAC,Inbound
D0157,2025-02-25,2025-03-30,Closed Won,11996,APAC,Partner
D0158,2025-03-17,2025-04-26,Closed Won,13575,APAC,Outbound
D0159,2025-03-15,2025-03-26,Closed Lost,13972,EU,Outbound
D0160,2025-01-24,2025-02-21,Closed Won,15882,EU,Inbound
D0161,2025-03-02,2025-03-23,Closed Won,11269,US,Outbound
D0162,2025-02-22,2025-03-26,Closed Lost,13526,APAC,Outbound
D0163,2025-03-12,2025-03-23,Closed Lost,10745,EU,Partner
D0164,2025-01-01,2025-02-01,Closed Lost,14923,EU,Outbound
D0165,2025-01-07,2025-01-23,Closed Lost,8965,EU,Inbound
D0166,2025-01-27,2025-02-14,Closed Lost,9054,EU,Outbound
D0167,2025-03-31,2025-04-25,Closed Won,16862,US,Partner
D0168,2025-01-21,2025-02-09,Closed Lost,11171,APAC,Outbound
D0169,2025-01-12,2025-01-29,Closed Lost,15420,US,Partner
D0170,2025-01-20,2025-02-14,Closed Lost,9916,EU,Partner
D0171,2025-02-04,2025-02-27,Closed Lost,14670,APAC,Inbound
D0172,2025-02-19,2025-03-07,Closed Lost,11666,APAC,Partner
D0173,2025-01-18,2025-02-24,Closed Won,13003,EU,Partner
D0174,2025-02-04,2025-03-12,Closed Won,5004,APAC,Outbound
D0175,2025-03-17,2025-04-14,Closed Lost,9962,APAC,Outbound
D0176,2025-02-14,2025-03-06,Closed Lost,12132,APAC,Outbound
D0177,2025-02-28,2025-04-08,Closed Won,14093,APAC,Outbound
D0178,2025-01-30,2025-03-08,Closed Lost,17158,US,Outbound
D0179,2025-03-02,2025-04-03,Closed Lost,4107,APAC,Inbound
D0180,2025-03-05,2025-04-14,Closed Won,19297,APAC,Partner
D0181,2025-02-12,2025-03-21,Closed Won,12927,EU,Inbound
D0182,2025-01-19,2025-02-11,Closed Lost,10635,US,Inbound
D0183,2025-03-02,2025-04-06,Closed Lost,9079,APAC,Inbound
D0184,2025-02-12,2025-03-21,Closed Lost,16695,APAC,Outbound
D0185,2025-02-10,2025-03-12,Closed Lost,12431,US,Partner
D0186,2025-01-09,2025-01-26,Closed Lost,4707,EU,Inbound
D0187,2025-01-12,2025-02-04,Closed Lost,12365,US,Outbound
D0188,2025-01-22,2025-02-23,Closed Won,6395,US,Inbound
D0189,2025-02-11,2025-03-18,Closed Won,9592,US,Partner
D0190,2025-02-22,2025-03-22,Closed Lost,14967,US,Inbound
D0191,2025-01-23,2025-02-04,Closed Lost,7962,EU,Partner
D0192,2025-01-19,2025-02-05,Closed Lost,15672,EU,Outbound
D0193,2025-02-02,2025-03-05,Closed Won,14607,APAC,Partner
D0194,2025-01-21,2025-02-02,Closed Won,4706,EU,Partner
D0195,2025-02-08,2025-03-10,Closed Lost,10543,EU,Inbound
D0196,2025-02-19,2025-03-28,Closed Lost,8298,US,Outbound
D0197,2025-03-15,2025-04-05,Closed Lost,15008,APAC,Outbound
D0198,2025-02-05,2025-02-15,Closed Lost,11861,APAC,Partner
D0199,2025-01-07,2025-02-15,Closed Lost,4205,EU,Inbound
D0200,2025-03-19,2025-04-23,Closed Won,12160,APAC,Inbound
D0201,2025-03-21,2025-04-08,Closed Lost,11040,US,Partner
D0202,2025-01-13,2025-02-20,Closed Lost,6805,US,Outbound
D0203,2025-02-26,2025-03-09,Closed Lost,11826,EU,Outbound
D0204,2025-02-23,2025-03-10,Closed Won,10444,APAC,Outbound
D0205,2025-03-09,2025-04-04,Closed Lost,13343,EU,Outbound
D0206,2025-02-13,2025-03-20,Closed Won,9572,US,Inbound
D0207,2025-01-29,2025-03-07,Closed Lost,10342,APAC,Outbound
D0208,2025-01-12,2025-02-16,Closed Won,8777,EU,Partner
D0209,2025-01-16,2025-02-09,Closed Won,11982,EU,Partner
D0210,2025-02-17,2025-03-02,Closed Lost,9192,EU,Inbound
D0211,2025-03-21,2025-04-28,Closed Lost,9674,APAC,Inbound
D0212,2025-03-23,2025-04-28,Closed Lost,16359,APAC,Outbound
D0213,2025-03-25,2025-04-17,Closed Won,12951,EU,Inbound
D0214,2025-01-13,2025-01-30,Closed Lost,12278,US,Outbound
D0215,2025-02-28,2025-03-21,Closed Lost,11625,EU,Partner
D0216,2025-01-20,2025-02-27,Closed Won,3310,US,Outbound
D0217,2025-03-20,2025-04-12,Closed Lost,10976,US,Outbound
D0218,2025-02-26,2025-04-07,Closed Won,17415,EU,Inbound
D0219,2025-03-29,2025-04-19,Closed Lost,15360,EU,Outbound
D0220,2025-01-25,2025-03-06,Closed Won,11529,EU,Inbound
D0221,2025-03-26,2025-04-11,Closed Lost,11387,EU,Inbound
D0222,2025-01-17,2025-02-21,Closed Lost,11571,US,Partner
D0223,2025-01-27,2025-02-24,Closed Won,14195,US,Partner
D0224,2025-01-01,2025-01-19,Closed Lost,9653,US,Inbound
D0225,2025-03-11,2025-03-29,Closed Lost,17568,US,Inbound
D0226,2025-02-15,2025-03-22,Closed Lost,16602,APAC,Outbound
D0227,2025-01-03,2025-01-18,Closed Won,14631,US,Partner
D0228,2025-01-09,2025-02-03,Closed Won,14690,EU,Partner
D0229,2025-03-17,2025-03-30,Closed Lost,12884,APAC,Partner
D0230,2025-03-08,2025-03-27,Closed Lost,16895,US,Inbound
D0231,2025-03-03,2025-04-09,Closed Won,10366,EU,Inbound
D0232,2025-01-11,2025-01-31,Closed Lost,8153,US,Inbound
D0233,2025-02-05,2025-03-06,Closed Lost,8953,APAC,Partner
D0234,2025-02-07,2025-03-03,Closed Lost,11044,EU,Inbound
D0235,2025-03-31,2025-04-13,Closed Lost,8406,APAC,Inbound
D0236,2025-02-25,2025-03-21,Closed Lost,6993,EU,Outbound
D0237,2025-02-28,2025-03-22,Closed Won,15139,APAC,Outbound
D0238,2025-02-17,2025-03-29,Closed Won,14136,EU,Inbound
D0239,2025-01-12,2025-02-17,Closed Won,6588,EU,Inbound
D0240,2025-03-13,2025-03-24,Closed Lost,14468,APAC,Partner
D0241,2025-02-12,2025-03-15,Closed Won,8772,EU,Partner
D0242,2025-01-07,2025-02-16,Closed Won,16237,EU,Outbound
D0243,2025-01-14,2025-02-11,Closed Lost,14327,US,Outbound
D0244,2025-03-13,2025-04-03,Closed Won,15412,EU,Partner
D0245,2025-01-29,2025-03-05,Closed Won,6296,APAC,Partner
D0246,2025-03-28,2025-04-27,Closed Lost,9701,APAC,Partner
D0247,2025-03-30,2025-04-17,Closed Won,11110,EU,Outbound
D0248,2025-01-01,2025-01-16,Closed Lost,18038,APAC,Partner
D0249,2025-02-21,2025-03-05,Closed Won,11398,APAC,Partner
D0250,2025-01-28,2025-02-19,Closed Won,11332,EU,Inbound
D0251,2025-02-17,2025-03-08,Closed Lost,12782,US,Inbound
D0252,2025-01-20,2025-02-04,Closed Lost,7404,US,Partner
D0253,2025-01-11,2025-01-29,Closed Won,7629,EU,Outbound
D0254,2025-01-28,2025-03-03,Closed Lost,14261,EU,Outbound
D0255,2025-01-15,2025-02-03,Closed Lost,8328,EU,Inbound
D0256,2025-01-29,2025-02-20,Closed Lost,9567,US,Inbound
D0257,2025-01-27,2025-02-15,Closed Lost,12665,EU,Outbound
D0258,2025-01-16,2025-01-26,Closed Lost,5917,EU,Inbound
D0259,2025-01-17,2025-02-08,Closed Lost,12573,APAC,Outbound
D0260,2025-01-10,2025-02-01,Closed Lost,16568,US,Outbound
D0261,2025-01-03,2025-01-27,Closed Lost,15052,APAC,Outbound
D0262,2025-03-23,2025-04-15,Closed Won,8407,EU,Inbound
D0263,2025-02-11,2025-02-26,Closed Lost,6988,EU,Inbound
D0264,2025-02-25,2025-04-03,Closed Won,7403,EU,Partner
D0265,2025-02-21,2025-03-19,Closed Won,16093,US,Outbound
D0266,2025-01-22,2025-02-03,Closed Lost,7670,US,Partner
D0267,2025-03-07,2025-03-23,Closed Lost,8606,APAC,Inbound
D0268,2025-01-31,2025-02-13,Closed Won,16708,US,Inbound
D0269,2025-03-19,2025-04-02,Closed Lost,10742,APAC,Outbound
D0270,2025-03-01,2025-04-04,Closed Lost,10136,APAC,Outbound
D0271,2025-03-29,2025-05-07,Closed Lost,5418,EU,Partner
D0272,2025-02-10,2025-02-24,Closed Won,3733,EU,Outbound
D0273,2025-03-22,2025-04-10,Closed Lost,9185,US,Outbound
D0274,2025-03-01,2025-03-25,Closed Won,10178,EU,Outbound
D0275,2025-01-10,2025-02-09,Closed Lost,15055,APAC,Outbound
D0276,2025-03-01,2025-03-29,Closed Lost,8075,APAC,Inbound
D0277,2025-02-27,2025-04-07,Closed Lost,10165,EU,Partner
D0278,2025-01-20,2025-03-01,Closed Won,9413,US,Outbound
D0279,2025-01-11,2025-02-06,Closed Lost,17475,EU,Partner
D0280,2025-03-08,2025-04-06,Closed Won,13374,EU,Outbound
D0281,2025-02-19,2025-03-14,Closed Lost,11489,APAC,Partner
D0282,2025-02-12,2025-02-24,Closed Won,10935,APAC,Partner
D0283,2025-02-19,2025-03-10,Closed Won,17539,APAC,Inbound
D0284,2025-02-12,2025-02-24,Closed Lost,4531,US,Outbound
D0285,2025-02-09,2025-03-21,Closed Lost,11007,APAC,Inbound
D0286,2025-02-09,2025-03-08,Closed Won,10389,EU,Inbound
D0287,2025-03-27,2025-04-28,Closed Lost,11614,APAC,Inbound
D0288,2025-03-24,2025-04-24,Closed Won,6538,EU,Inbound
D0289,2025-02-16,2025-03-07,Closed Won,13950,EU,Inbound
D0290,2025-01-29,2025-02-12,Closed Won,20524,EU,Inbound
D0291,2025-03-06,2025-04-09,Closed Lost,11686,APAC,Outbound
D0292,2025-03-21,2025-04-04,Closed Lost,7608,US,Inbound
D0293,2025-01-24,2025-03-01,Closed Lost,6496,APAC,Outbound
D0294,2025-01-06,2025-01-29,Closed Won,6514,APAC,Inbound
D0295,2025-02-26,2025-03-27,Closed Won,11963,APAC,Inbound
D0296,2025-02-09,2025-03-21,Closed Lost,8070,EU,Inbound
D0297,2025-02-17,2025-03-20,Closed Lost,15987,EU,Outbound
D0298,2025-03-06,2025-04-01,Closed Won,11608,US,Inbound
D0299,2025-03-19,2025-04-02,Closed Lost,15901,EU,Partner
D0300,2025-01-14,2025-02-15,Closed Lost,13326,US,Outbound
D0301,2025-04-11,2025-05-15,Closed Won,13160,EU,Inbound
D0302,2025-04-29,2025-06-04,Closed Won,22254,EU,Inbound
D0303,2025-05-24,2025-06-04,Closed Won,15835,US,Outbound
D0304,2025-04-29,2025-05-09,Closed Won,24218,US,Partner
D0305,2025-06-23,2025-07-13,Closed Lost,23201,EU,Partner
D0306,2025-04-18,2025-05-22,Closed Lost,23753,EU,Partner
D0307,2025-04-01,2025-05-09,Closed Won,19576,APAC,Partner
D0308,2025-06-17,2025-07-13,Closed Won,31381,EU,Inbound
D0309,2025-05-09,2025-05-22,Closed Won,10660,EU,Inbound
D0310,2025-04-15,2025-05-21,Closed Lost,25147,APAC,Partner
D0311,2025-04-03,2025-05-03,Closed Won,20169,EU,Inbound
D0312,2025-06-18,2025-07-09,Closed Won,23336,EU,Inbound
D0313,2025-06-25,2025-07-26,Closed Won,22217,APAC,Partner
D0314,2025-06-04,2025-07-09,Closed Lost,19643,APAC,Inbound
D0315,2025-05-20,2025-06-26,Closed Won,8879,EU,Partner
D0316,2025-04-03,2025-04-24,Closed Lost,7278,EU,Inbound
D0317,2025-06-24,2025-07-24,Closed Won,11218,US,Inbound
D0318,2025-05-16,2025-06-12,Closed Won,15034,APAC,Inbound
D0319,2025-06-27,2025-07-21,Closed Lost,16228,US,Inbound
D0320,2025-05-29,2025-06-09,Closed Won,20511,US,Inbound
D0321,2025-04-06,2025-04-26,Closed Lost,2042,APAC,Outbound
D0322,2025-05-03,2025-05-14,Closed Lost,18258,US,Outbound
D0323,2025-05-16,2025-06-22,Closed Lost,23584,US,Outbound
D0324,2025-05-26,2025-07-03,Closed Won,15975,EU,Outbound
D0325,2025-05-14,2025-05-29,Closed Won,6369,APAC,Outbound
D0326,2025-04-11,2025-05-14,Closed Won,20212,EU,Partner
D0327,2025-04-24,2025-05-21,Closed Won,24275,EU,Outbound
D0328,2025-05-28,2025-06-26,Closed Lost,23214,US,Partner
D0329,2025-05-27,2025-06-17,Closed Won,18081,APAC,Outbound
D0330,2025-05-06,2025-06-05,Closed Lost,6923,US,Inbound
D0331,2025-06-25,2025-07-25,Closed Won,10044,US,Inbound
D0332,2025-04-19,2025-05-26,Closed Lost,19179,EU,Inbound
D0333,2025-04-17,2025-04-29,Closed Won,16517,APAC,Inbound
D0334,2025-06-17,2025-07-01,Closed Lost,15500,EU,Outbound
D0335,2025-05-27,2025-06-30,Closed Won,23720,EU,Partner
D0336,2025-05-06,2025-05-23,Closed Lost,24367,US,Partner
D0337,2025-04-24,2025-05-19,Closed Won,22571,EU,Partner
D0338,2025-05-28,2025-06-13,Closed Lost,18447,EU,Partner
D0339,2025-06-02,2025-06-18,Closed Won,23962,APAC,Outbound
D0340,2025-04-12,2025-05-17,Closed Lost,14745,EU,Partner
D0341,2025-05-15,2025-06-16,Closed Won,7799,US,Partner
D0342,2025-06-30,2025-08-08,Closed Lost,16689,US,Outbound
D0343,2025-06-05,2025-06-22,Closed Won,20994,EU,Inbound
D0344,2025-05-17,2025-06-13,Closed Lost,23126,EU,Partner
D0345,2025-04-17,2025-05-16,Closed Lost,25537,APAC,Partner
D0346,2025-06-01,2025-06-27,Closed Won,22427,EU,Partner
D0347,2025-04-10,2025-04-24,Closed Lost,15892,APAC,Partner
D0348,2025-05-15,2025-05-29,Closed Lost,14884,APAC,Partner
D0349,2025-06-15,2025-06-30,Closed Lost,24887,US,Inbound
D0350,2025-06-06,2025-06-20,Closed Won,25141,US,Outbound
D0351,2025-06-30,2025-07-17,Closed Won,31868,US,Outbound
D0352,2025-04-26,2025-05-26,Closed Lost,15378,EU,Inbound
D0353,2025-06-20,2025-07-09,Closed Lost,27150,APAC,Partner
D0354,2025-04-20,2025-05-05,Closed Lost,24756,APAC,Partner
D0355,2025-05-14,2025-06-19,Closed Lost,31581,US,Inbound
D0356,2025-06-22,2025-07-26,Closed Lost,23066,APAC,Inbound
D0357,2025-06-13,2025-07-06,Closed Lost,32353,APAC,Outbound
D0358,2025-06-22,2025-08-01,Closed Won,22379,US,Partner
D0359,2025-05-22,2025-06-10,Closed Won,18675,EU,Outbound
D0360,2025-05-30,2025-06-15,Closed Won,16738,US,Outbound
D0361,2025-05-11,2025-06-13,Closed Lost,16586,EU,Partner
D0362,2025-06-11,2025-06-24,Closed Won,24997,EU,Inbound
D0363,2025-05-05,2025-05-29,Closed Won,24076,EU,Partner
D0364,2025-05-24,2025-06-10,Closed Lost,22839,US,Outbound
D0365,2025-06-13,2025-07-16,Closed Won,20580,APAC,Outbound
D0366,2025-06-03,2025-07-11,Closed Won,12977,US,Inbound
D0367,2025-05-21,2025-06-16,Closed Won,20462,US,Inbound
D0368,2025-05-07,2025-06-01,Closed Lost,27926,APAC,Partner
D0369,2025-05-31,2025-06-19,Closed Won,23652,EU,Partner
D0370,2025-05-17,2025-06-20,Closed Won,14780,US,Outbound
D0371,2025-04-07,2025-05-05,Closed Lost,16783,EU,Partner
D0372,2025-05-28,2025-07-01,Closed Won,23764,APAC,Partner
D0373,2025-06-18,2025-07-01,Closed Won,24761,EU,Partner
D0374,2025-05-17,2025-06-20,Closed Won,23310,APAC,Partner
D0375,2025-05-22,2025-06-17,Closed Won,29205,EU,Partner
D0376,2025-05-29,2025-06-12,Closed Lost,22296,APAC,Inbound
D0377,2025-05-12,2025-06-20,Closed Lost,29579,APAC,Outbound
D0378,2025-06-15,2025-07-05,Closed Won,35632,APAC,Partner
D0379,2025-06-02,2025-07-04,Closed Lost,18914,EU,Partner
D0380,2025-04-15,2025-05-08,Closed Lost,20172,APAC,Partner
D0381,2025-06-20,2025-06-30,Closed Lost,19146,APAC,Partner
D0382,2025-04-30,2025-06-02,Closed Won,28718,EU,Inbound
D0383,2025-06-07,2025-07-07,Closed Lost,20903,APAC,Inbound
D0384,2025-04-05,2025-05-03,Closed Lost,14201,US,Inbound
D0385,2025-04-03,2025-04-27,Closed Won,25334,EU,Partner
D0386,2025-06-18,2025-07-27,Closed Won,27482,APAC,Partner
D0387,2025-04-08,2025-05-10,Closed Won,21408,APAC,Outbound
D0388,2025-06-07,2025-06-29,Closed Won,25130,US,Outbound
D0389,2025-06-08,2025-06-28,Closed Won,14580,APAC,Partner
D0390,2025-06-28,2025-07-16,Closed Lost,9218,US,Inbound
D0391,2025-05-06,2025-06-02,Closed Won,35899,EU,Partner
D0392,2025-04-27,2025-05-29,Closed Lost,13875,EU,Outbound
D0393,2025-05-15,2025-06-11,Closed Lost,21349,US,Partner
D0394,2025-06-26,2025-07-23,Closed Won,15397,EU,Outbound
D0395,2025-04-19,2025-05-08,Closed Won,22339,EU,Partner
